#Table1
specobjid,ra,dec,plate,mjd,fiberid
2595230970286204928,321.04997,-7.446869,2305,54414,115
2157319658988922880,310.76168,-4.799192,1916,53269,347
768007265096591360,354.51157,0.7823743,682,52525,522
9870960593879408640,355.51817,0.68772056,8767,57310,713
1278044329314641920,9.2007608,1.0864468,1135,53024,538
1452512355643582464,222.94589,43.430964,1290,52734,369
3273150260339304448,217.86427,46.116204,2907,54580,579
6113721257215107072,201.44574,10.038599,5430,56000,308
6136268392175214592,210.2713,9.9772878,5450,55986,414
5509160831114256384,238.93654,6.7917016,4893,55709,482
2060397180904040448,224.06216,4.9345513,1830,54560,1
4736689037489709056,345.6672,-0.50604489,4207,55475,102
3247125368959690752,245.37554,49.927722,2884,54526,109
6610254936570568704,178.74413,16.527539,5871,56041,351
6591036297850101760,190.65319,17.304725,5854,56035,66
2787738953770441728,200.42821,16.718952,2476,53826,39
2934169718837241856,201.91535,16.696614,2606,54154,271
4867463857847640064,338.19059,2.7268353,4323,55884,722
5789627007852584960,321.07836,2.7330654,5142,55825,908
5699429120854695936,329.80532,13.075767,5062,55803,450
5672394336198696960,337.93929,14.187064,5038,56235,402
732967197466454016,3.5649505,-10.584965,651,52141,23
736368536770865152,8.7355261,-10.487642,654,52146,109
4229092897960468480,121.23553,32.623658,3756,55505,774
9345192001899831296,147.13581,42.281614,8300,57391,810
2713424066739464192,165.06045,47.331588,2410,54087,19
1446851244965521408,208.60501,46.462085,1285,52723,254
7985095006951022592,175.20944,57.322336,7092,56683,774
7994007647417245696,168.86981,57.02377,7100,56636,430
3669437070973181952,162.89474,44.143147,3259,54885,470
1529026824426776576,155.36433,43.059306,1358,52994,199
5321216360826511360,237.30213,29.394111,4726,55712,776
1567396203937687552,240.36862,28.264864,1392,52822,522
5218704766972960768,160.40081,35.662857,4635,55615,577
2285751417064941568,169.8913,37.269477,2030,53499,635
2578333938942502912,140.5761,20.599658,2290,53727,84
2587454388062676992,149.28821,23.539894,2298,53737,496
5067756388588953600,119.86464,13.381451,4501,55590,294
1947966601588402176,243.60367,8.0993585,1730,53498,581
3095160762591635456,220.58574,14.112138,2749,54241,225
3095152791132334080,221.00263,13.924587,2749,54241,196
3090730830075553792,213.06319,15.548111,2745,54231,493
6154314127554617344,216.83725,15.120715,5466,56033,528
4975529357898391552,9.75348860000003,6.1102066,4419,55867,646
610374122387564544,116.83544,34.805043,542,51993,496
7573975509429624832,228.3333,48.796919,6727,56369,170
6814163491965870080,241.20911,41.724586,6052,56092,790
5848131475786932224,252.12459,32.174988,5194,56062,754
2538974168729361408,249.29626,35.77621,2255,53565,254
7466019960172552192,207.58375,43.964011,6631,56364,646
9954242554298867712,179.19357,40.398842,8841,57425,587
3300128152684095488,212.22643,37.271666,2931,54590,420
4345085323031584768,215.78279,36.415001,3859,55246,864
9436226618907402240,178.02917,40.829913,8381,57512,216
788243771136436224,28.023996,1.0306919,700,52199,414
2455762028539701248,256.04786,40.462023,2181,53524,634
6749927823664717824,201.28836,23.29749,5995,56093,574
3716659996780503040,201.1734,23.898561,3301,54939,234
3000606335864694784,202.09996,23.604903,2665,54232,302
3222453151743371264,173.61233,0.159246,2862,54471,464
3613091223570587648,73.928123,-4.4136271,3209,54906,285
3312523770740107264,71.340169,-4.410045,2942,54521,459
7939855048854446080,30.253313,-4.9734995,7052,56539,32
8886754200349810688,27.051388,-4.7932915,7893,57286,95
2462474559543076864,241.66439,52.431329,2187,54270,478
7655132663527743488,230.87661,60.402786,6799,56478,506
710468164864993280,254.02783,41.081787,631,52079,92
7531345794806292480,178.5773,53.443096,6689,56396,732
9329442866701770752,148.72966,44.058422,8286,57062,859
3595170007396491264,151.87613,44.947765,3193,54830,624
2200116501309057024,153.61707,36.956777,1954,53357,393
5148750263331299328,149.29237,36.064045,4573,55587,36
9968855339129348096,149.04507,36.473087,8854,57450,500
3296673762430183424,205.30026,9.113929,2928,54614,141
3713223472936230912,244.5465,4.73628,3298,54924,20
3274292653440657408,218.8277,8.416963,2908,54611,639
6171080029771898880,226.35144,7.6909225,5481,55983,82
4521680091067949056,226.32074,0.28316713,4016,55632,240
408797906821212160,232.38858,0.34201432,363,51989,350
8389320287359836160,120.51543,0.73601649,7451,56739,873
4309056531364552704,147.62133,0.64984381,3827,55565,864
306371525940897792,155.94867,0.64476744,272,51941,461
3222482838557321216,174.77711,0.728683,2862,54471,572
870348155642734592,160.94825,61.941444,773,52376,100
489803599568726016,118.18428,39.280171,435,51882,135
4132142635128168448,116.30541,37.590964,3670,55480,327
879378719469234176,189.96724,61.84882,781,52373,185
882802323028469760,196.9562,61.926042,784,52327,352
7666518106030710784,210.62228,60.3549,6809,56454,966
6818698427674632192,216.35335,45.414771,6056,56092,904
7504157620929798144,195.33589,47.095092,6665,56390,126
1609009698210605056,155.83447,44.086066,1429,52990,359
7527979090084601856,169.37364,47.402842,6686,56389,772
5304185475887505408,211.25882,38.165796,4711,55737,258
2760788555289618432,181.46973,38.983894,2452,54178,298
9953199942397829120,183.28314,39.066001,8840,57425,890
3537697708385083392,353.30879,0.34004019,3142,54735,437
2787816469340199936,197.80557,17.841216,2476,53826,321
3150321889184868352,278.85678,40.717824,2798,54397,196
3150405726946486272,279.60702,41.443418,2798,54397,501
3175203565832529920,264.82798,44.964243,2820,54599,603
3174082614030002176,281.06081,41.794083,2819,54617,621
2488401581150595072,250.70218,13.797637,2210,53535,592
3149298247533619200,263.20525,9.064381,2797,54616,568
6783600367349243904,256.26548,45.503929,6025,56098,194
2593048443312171008,301.01226,-10.329019,2303,54629,367
3173983657983502336,278.08399,40.722088,2819,54617,261
3151394737169131520,264.89345,43.469255,2799,54368,3
4593689303893123072,322.74569,3.1934556,4080,55471,64
4963005371054530560,352.0463,4.6731138,4408,55888,140
8639275299257688064,12.366554,26.259156,7673,57329,892
2599759034500278272,332.04279,-9.263484,2309,54441,204
1325316179127986176,325.00438,-7.8478296,1177,52824,480
811937422567827456,338.23085,-8.6789486,721,52228,595
718470685403408384,317.95665,-5.6606536,638,52081,533
4751476918657720320,6.54195900000002,0.23542524,4220,55447,652
1229606437605369856,357.77197,1.1852279,1092,52639,450
8852019248572112896,1.59423829999997,1.1663246,7862,56984,706
4039923016527749120,9.86920570000001,1.1473232,3588,55184,706
1447953780283828224,212.57218,46.58059,1286,52725,169
3273063124042803200,215.96245,44.891027,2907,54580,262
3834990263315570688,225.56507,41.320956,3406,54970,637
1449098371938674688,214.23312,45.737973,1287,52728,237
1450162424366786560,219.68123,44.074885,1288,52731,12
5380835178879885312,219.75342,5.1438289,4779,55656,580
2058197040420120576,219.09947,5.6267162,1828,53504,189
1980529181204703232,128.80062,7.9954157,1759,53081,259
3652512288604266496,173.40636,14.133616,3244,54892,338
1997394876316018688,201.17142,13.891865,1774,53759,176
4060079263654584320,28.088023,-0.51033767,3606,55182,306
3226863292999821312,30.427118,-0.590726,2866,54478,124
689061498105915392,230.98621,57.258515,612,52079,39
4828095837589446656,347.63273,3.3132292,4288,55501,862
2209149813361056768,322.47956,12.013686,1962,53321,488
6916622035692003328,352.19487,15.334853,6143,56267,796
3496049308946505728,8.1208296,-9.6251202,3105,54825,473
740936182950553600,13.985586,-9.5961582,658,52146,342
4236884587161034752,127.0451,37.055514,3763,55508,448
4224439760238649344,118.69269,30.176606,3752,55236,230
3669451364624343040,163.77657,44.748966,3259,54885,522
1553873039945394176,214.20037,38.669476,1380,53084,477
1567341228356298752,239.28534,28.393339,1392,52822,322
2232798936114948096,164.85961,35.178945,1983,53442,507
5062086206352760832,128.08313,15.624424,4496,55544,146
6495344704913121280,137.42218,18.913634,5769,56246,102
3090745123726714880,213.57011,15.961606,2745,54231,545
3092996373818140672,218.31215,15.290978,2747,54233,543
4978858673503707136,23.039949,5.5773141,4422,55533,470
687970507290601472,226.56449,60.596987,611,52055,166
2462446521996568576,241.62288,53.079726,2187,54270,376
706048678967666688,248.18189,47.516903,627,52144,398
7532411496787058688,173.01484,52.696287,6690,56416,513
9253912746222657536,180.16734,53.121284,8219,57429,514
994314244289751040,183.39071,53.708558,883,52430,526
9975738831809257472,135.99834,37.671764,8860,57458,966
3545575160633466880,135.99669,38.606304,3149,54806,423
1789179246648780800,132.61729,29.570078,1589,52972,452
1789195189567383552,133.16285,30.331554,1589,52972,510
5216314153900154880,160.53277,39.795167,4633,55620,72
3268499326170589184,206.00461,8.675316,2903,54581,43
5474318406739009536,212.64782,8.0485354,4862,55685,702
3302323053224028160,217.18494,7.789964,2933,54617,213
3296676236331345920,205.44668,9.100322,2928,54614,150
2043532585337907200,225.29842,7.3328947,1815,53884,88
2066186109674612736,232.63811,6.5015517,1835,54563,581
3268649409507780608,206.11148,9.523922,2903,54581,589
5979672372231249920,143.51279,10.783594,5311,55956,65
6040646064242925568,168.35778,14.684279,5365,55945,702
3153734222414374912,0.371264,26.066673,2801,54331,322
7069752668957155328,5.05089950000001,26.1062,6279,56243,826
8863119922915418112,14.67692,-0.94925114,7872,57279,130
8867694161517584384,18.574598,-1.0300857,7876,57002,387
3746037573286469632,171.48281,17.938628,3327,54951,613
9071530151443931136,250.26382,52.901953,8057,57190,562
3171728284924798976,252.55199,11.41587,2817,54627,248
8643582086874112000,16.052626,27.051071,7677,57363,176
625044360861345792,144.01374,56.049383,555,52266,618
9222378477205823488,145.246,56.416759,8191,57390,481
614875526548449280,122.71067,42.635649,546,52205,488
617015997135611904,127.44458,45.038359,548,51986,83
7993977410847481856,169.8675,57.562348,7100,56636,320
8210164212959256576,146.21815,48.758778,7292,56709,371
6813983172058914816,241.70671,39.689043,6052,56092,134
1308354010629040128,218.94058,54.117152,1162,52668,212
2760820441126823936,181.75141,40.570715,2452,54178,414
3265211511324305408,197.12305,39.963013,2900,54569,370
3276483430677768192,226.10868,32.866724,2910,54630,417
4216648620810674176,38.035853,0.61087373,3745,55234,558
4070391033405349888,38.200069,0.62648258,3615,55179,956
5800697443780632576,126.90013,57.655437,5152,56010,222
319884523879819264,178.15413,0.36162097,284,51943,469
3284378472679499776,180.61105,0.295501,2917,54556,467
317592586640451584,173.12987,0.81955433,282,51630,323
2891436099895322624,186.09572,0.769625,2568,54153,455
331105590518507520,195.68734,0.74185112,294,51986,331
8394904156960169984,197.85924,0.83396166,7456,56727,707
7989580464636534784,161.24025,61.952283,7096,56683,708
683470211449382912,217.47853,60.574182,607,52368,178
7675355980511551488,200.11321,61.180436,6817,56455,350
884959014952134656,208.70457,60.165693,786,52319,6
2867786700334065664,216.68994,58.365806,2547,53917,435
626060304991676416,144.34803,55.887708,556,51991,218
3668254271322824704,158.94855,44.449322,3258,54884,263
4702909295078907904,256.88433,23.121883,4177,55688,92
1878126996291086336,202.7303,52.3658,1668,53433,458
3728022624886956032,216.81224,36.621547,3311,54943,611
1560559995324491776,228.42165,32.925436,1386,53116,228
2373467430635726848,180.94646,37.543417,2108,53473,256
3226855321540519936,30.714807,-0.035472,2866,54478,95
9867632922307043328,351.42483,0.23712108,8764,57332,895
2854187677639534592,260.16301,-13.553698,2535,54632,114
3151445039826102272,262.7062,43.904628,2799,54368,186
3175143642448816128,262.27522,44.453682,2820,54599,385
3175061453954639872,263.87363,43.209246,2820,54599,86
4967588685677568000,341.50743,5.3678896,4412,55912,430
2150541995309819904,343.86589,-9.836675,1910,53321,266
2150630505995855872,345.62394,-9.198647,1910,53321,588
2157373260180776960,311.85362,-5.319714,1916,53269,542
4037711898593959936,8.46772529999998,0.38256011,3586,55181,854
9200942124186443776,163.56096,54.397106,8172,57423,320
9206517746828812288,169.53411,55.703248,8177,57374,124
3729088326968385536,212.91357,46.692343,3312,54969,392
3291120952976369664,192.22831,50.68985,2923,54563,420
3273123047426516992,216.86943,45.368133,2907,54580,480
7986278081026301952,172.82906,56.19063,7093,56657,982
2448865360108087296,241.8229,5.528876,2175,54612,120
5509132793567748096,239.72818,6.4265007,4893,55709,380
2037995168392570880,213.16885,9.7877682,1810,53794,423
6161168482085871616,221.56644,9.0405865,5472,55976,888
1937676003409160192,231.75212,7.8543732,1721,53857,8
2001933112640038912,207.69477,13.780873,1778,53883,302
2787751048398347264,199.31899,16.145669,2476,53826,83
4854022321856290816,17.152509,2.4739196,4311,55506,974
5674616999088463872,343.01566,14.315063,5040,56243,296
843434307501451264,358.82823,15.267209,749,52226,492
5699407680377954304,330.08919,13.184363,5062,55803,372
2129176558844274688,318.19088,11.468305,1891,53238,363
845696003339216896,1.652568,16.043819,751,52251,528
2153965599640807424,5.36121,-9.620598,1913,53321,433
4239195485724712960,130.36196,39.448642,3765,55508,663
1057235175034873856,142.44058,40.143377,939,52636,55
7497437409501487104,156.98669,45.539779,6659,56607,254
2690969290638649344,162.64124,46.863607,2390,54094,249
3729003664573046784,214.09451,45.12275,3312,54969,84
9206591963863687168,167.39912,56.802064,8177,57374,394
1476211779544573952,176.75362,58.124379,1311,52765,571
5301893543614193664,207.7299,39.775743,4709,55720,112
1558270812199348224,225.42144,34.533027,1384,53121,92
1563889041974257664,235.93541,29.571241,1389,53135,51
3805612962006278144,207.43115,40.912086,3380,54977,259
1764313244786255872,254.91423,18.164793,1567,53172,102
5214233877850071040,163.75117,35.106998,4631,55617,696
4475609449134792704,193.15254,37.107537,3975,55321,572
5198380019689168896,170.15405,37.29193,4617,55617,364
6494361187920093184,138.32011,19.22921,5768,56017,620
3088376226394433536,209.59938,16.022855,2743,54259,119
3088432026609543168,207.54407,16.696009,2743,54259,322
6173570699057143808,227.68526,13.637765,5483,56017,951
3726788697560031232,209.12537,16.937466,3310,54919,218
4856203209058787328,20.239334,4.782903,4313,55857,716
4852648756988846080,23.070308,4.1171659,4310,55508,73
8190933486153998336,139.20854,53.832057,7275,57093,42
627211223183681536,144.91405,56.353401,557,52253,309
614884322641471488,122.93988,42.324672,546,52205,520
614743035397302272,123.54075,41.179166,546,52205,6
7987194524018384896,163.14872,55.754035,7094,56660,220
7994002149859106816,168.84129,56.567922,7100,56636,410
3675061897650085888,140.05974,45.031876,3264,54889,453
1506484358314223616,247.88643,35.891379,1338,52765,110
1499871345897400320,235.2436,46.353069,1332,52781,628
3232566735664080896,165.76501,38.914968,2871,54536,393
5198528453758918656,171.51329,39.789412,4617,55617,904
2193343785079957504,148.30868,35.050816,1948,53388,330
2710132123624302592,150.81967,35.731752,2407,53771,331
2777710314085443584,181.74432,40.932962,2467,54176,419
2236148873720522752,185.82473,40.923085,1986,53475,406
5622963033871458304,259.33126,35.308439,4994,55739,796
2457944284444256256,265.80343,25.744524,2183,53536,381
5611539109535260672,258.50728,39.399951,4984,55827,196
2536736953987000320,261.83659,32.819015,2253,54551,307
3117792839858153472,208.67563,21.922115,2769,54527,640
6732026129056505856,187.10049,24.309424,5979,56329,984
6729621493251022848,197.54053,24.065774,5977,56098,428
3256110578418083840,182.37953,-0.315261,2892,54552,29
2712430110291552256,162.3076,0.100105,2409,54210,499
4324772958138507264,175.04979,0.19303058,3841,56016,696
7862207261279494144,223.16852,61.757344,6983,56447,175
690343808004548608,230.76489,60.686619,613,52345,608
3720039620696711168,184.39871,53.56669,3304,54942,241
3595000682605813760,151.35477,43.916459,3193,54830,8
3596245054940880896,149.69268,43.763023,3194,54833,439
5221933213711048704,145.29752,42.65586,4638,55956,34
1060748115809691648,150.67825,44.603828,942,52703,547
5834663562539147264,134.74369,30.208636,5182,56341,910
1606706771206891520,154.80743,38.159531,1427,52996,173
2448867834009249792,241.5803,4.33978,2175,54612,129
2452336243724281856,242.23062,5.202892,2178,54629,459
5500161328877117440,231.85255,7.0245977,4885,55735,510
3715515679634464768,163.47937,14.781539,3300,54914,167
1971543427392759808,165.68315,15.032797,1751,53377,337
8631381905449656320,0.0402227519999769,26.006199,7666,57339,848
2621101367866976256,18.409817,-0.109144,2328,53728,23
2823898043739301888,176.11052,17.46895,2508,53875,513
4333801310543388672,191.38123,0.34962559,3849,55274,773
3239372712421910528,174.43112,0.788825,2877,54523,577
3259571016640260096,187.98625,0.819785,2895,54567,330
3266361052123654144,197.97076,0.800302,2901,54652,456
2456761765879375872,260.96269,26.430421,2182,53905,175
3747078261260263424,167.70818,61.298544,3328,54964,303
887237753119467520,213.84137,59.141705,788,52338,104
1057388556906948608,142.88347,41.892577,939,52636,613
1451384256713484288,219.97418,44.623892,1289,52734,361
7476125571895762944,183.70198,47.215732,6640,56385,546
2890272542151436288,156.75735,44.048476,2567,54179,318
8332964270279991296,176.11671,47.154961,7401,56808,651
3621042067062497280,170.67145,47.137096,3216,54908,538
3748195365174747136,172.01733,47.364631,3329,54970,271
8323941127116791808,164.91385,46.651621,7393,56749,593
1893922850851547136,241.25563,36.822325,1682,53173,579
5307692923080384512,218.29048,36.654778,4714,56041,730
5233292813345464320,172.65534,37.435606,4648,55673,400
3544352778514178048,130.43615,25.257132,3148,54802,72
2175258192555042816,133.19149,26.818431,1932,53350,71
1300487553228498944,33.921288,-0.130572,1155,52581,266
4769514957204070400,33.825689,0.35361659,4236,55479,738
6593525593098133504,192.77042,18.411869,5856,56090,930
3151451636895868928,262.97869,43.014435,2799,54368,210
3175193395349972992,264.35866,45.039781,2820,54599,566
3172813502716864512,262.86586,7.29472,2818,54616,100
2609870696322459648,301.86538,-12.393979,2318,54628,126
1326372534941149184,325.84976,-8.2595949,1178,52825,227
2150532924338890752,344.27945,-9.840917,1910,53321,233
808536357856110592,332.36916,-7.3527564,718,52206,510
8087457889810096128,26.115534,-9.584925,7183,56658,432
736407569433651200,7.4270199,-11.170426,654,52146,251
1022366908126619648,166.2512,55.764692,908,52373,181
1177791124509583360,216.98567,51.333275,1046,52460,363
3301179011006228480,217.62664,45.290152,2932,54595,147
9560142403588825088,218.63629,45.709862,8491,57488,459
2028965705554094080,203.05356,10.076469,1802,53885,342
3274209090556946432,216.58919,9.074316,2908,54611,335
2448939027387148288,240.30474,6.176729,2175,54612,388
2452280993264986112,241.69727,3.172841,2178,54629,258
6058690150640099328,176.86556,14.323293,5381,56009,810
8817035537892220928,34.51142,-1.0474017,7831,57016,412
2141501809867384832,356.07833,-0.447635,1902,53271,146
2325003710301759488,31.108069,-0.568759,2065,53678,74
6633990918612426752,176.17361,17.287785,5892,56035,686
4844830954437451776,8.78729370000002,3.0382527,4303,55508,304
4831341596317294592,338.175,3.1873203,4291,55525,382
5674606003972186112,343.25201,14.386214,5040,56243,256
2209104183628504064,322.42167,12.338929,1962,53321,322
2152816059764205568,4.727672,-9.715473,1912,53293,347
9939507174676865024,130.29882,38.929834,8828,57445,228
5229967889344208896,135.66558,36.74944,4645,55623,592
1057233800645339136,142.50416,40.190787,939,52636,50
5281822507447328768,158.66892,45.848827,4691,55651,822
7512263495460560896,183.49007,49.043508,6672,56386,943
3739129616154075136,147.55757,42.818234,3321,54924,58
7470601075470344192,192.34667,46.124719,6635,56370,928
5135304885844025344,152.86731,42.376987,4561,55614,274
2768710542708205568,238.31996,27.814271,2459,54544,446
5305394663816929280,212.79581,38.622923,4712,55738,561
5317760601165897728,231.91475,31.711684,4723,56033,492
1769970781950863360,247.19908,22.844342,1572,53177,204
2255304014990174208,186.10796,37.069697,2003,53442,460
2564859148797765632,130.07635,16.313799,2278,53711,215
7272412453668888576,151.00983,23.410429,6459,56273,818
5506888141032628224,232.70157,11.122522,4891,55736,406
3092919133126289408,216.8654,14.612517,2747,54233,262
5493540069368111104,241.12132,10.000605,4879,55706,998
4801013491891675136,34.619426,4.5637154,4264,55506,641
5777112916428824576,16.021317,14.985121,5131,55835,438
703761969676576768,245.74079,48.571335,625,52145,271
2468010599951394816,255.20051,38.47888,2192,54232,138
6787031943206641664,252.82102,43.465929,6028,56102,390
9187526427154554880,169.27821,52.206776,8160,57071,666
3328305061200685056,148.81818,47.655229,2956,54525,527
1060628269042264064,150.39083,44.148837,942,52703,111
2340830900289379328,113.43354,21.355245,2079,53379,309
1055086455627474944,136.81445,39.215356,937,52707,430
1784702859766425600,125.15258,24.566394,1585,52962,551
1786958507904362496,130.32615,27.774222,1587,52964,565
