,Su,Sg,Sr,Si,Sz,Pg,Pr,Pi,Pz,Py,SMu,SMv,SMg,SMr,SMi,SMz,VRu,VRg,VRr,VRi,VRz,VRy,DEu,DEg,DEr,DEi,DEz,DEy,a_fwhm,a_height,b_fwhm,b_height,g_fwhm,g_height,d_fwhm,d_height,is_mpms
21,-31.263966527275475,-33.28536035689871,-34.29189084749197,-34.68112210373777,-34.891466222975346,-33.442439878659755,-34.30521081675204,-34.69028524940773,-34.865822327256005,-34.944409922785724,-31.04597460507485,-31.6685915151757,-33.665593764300525,-34.28325082669739,-34.73469553125545,-34.90848518249197,-31.45861472172922,-33.38486247238705,-34.31192183660509,-34.689712261276995,-34.867039341916,-34.94923213066584,-31.64467840813846,-33.40578344079167,-34.38875075701584,-34.743146478732555,-34.91238632751791,-34.95747090609514,62.74141582784246,0.0,137.28646907038035,2.4547666615179255e-13,87.1319539251236,0.00017350198674513824,86.43371449894751,0.001315045701426791,0
22,-31.27521645447336,-33.334183330434186,-34.34752391707716,-34.726494198857,-34.92479161692787,-33.49368996684487,-34.36039844458346,-34.73527114256902,-34.90253750641055,-34.97081389658938,-31.05307898017832,-31.686612938358017,-33.719288545142994,-34.338296281315664,-34.777786157967924,-34.93952611830289,-31.473375001133235,-33.43534306815913,-34.36702839347085,-34.734722113008466,-34.90366661213819,-34.97386052958963,-31.662242049135997,-33.456565701062004,-34.44259547126404,-34.785853732973465,-34.944097076521246,-34.979690859079994,65.60225848566665,6.715721399409633e-14,137.37495487099739,2.6170726572210935e-13,108.6038774708023,0.000541049094943726,86.6998431046261,0.0015196936609338583,0
23,-31.293299631362032,-33.38352801982124,-34.40470894525725,-34.77228155499259,-34.95640392657616,-33.54551029492483,-34.41711104920064,-34.780607962673905,-34.93841701064071,-34.99360121151957,-31.068385083906087,-31.709385684016198,-33.77381634391324,-34.39481150616946,-34.82095277918339,-34.96824786212584,-31.493879302928327,-33.48644192147796,-34.423661693624446,-34.78008439677588,-34.93944078546801,-34.99430589670186,-31.684666729508056,-33.507917301304964,-34.497926849497226,-34.82859465657552,-34.97371910815946,-34.99692949541912,70.91803453696677,2.8500367273923998e-11,137.1434538832704,2.2145089417967834e-13,117.27243376108137,0.0009140387379733688,87.06240786278285,0.0017040662318607094,0
24,-31.31297809442651,-33.429905025916334,-34.461164180043454,-34.816075368046924,-34.98347776702732,-33.59456251843764,-34.47306267787238,-34.82387095350608,-34.97082079854604,-35.00946260795368,-31.086241420502887,-31.732235705444207,-33.82615148956864,-34.450474970132404,-34.861708926148836,-34.99170290771336,-31.515185576289273,-33.53479263469937,-34.4795427040576,-34.823373472006985,-34.97171802641829,-35.00715203381572,-31.707255767719744,-33.55647405121397,-34.552516609715084,-34.86888046013241,-34.99830155337639,-35.00557385439984,81.29705506364292,0.0,136.54113606835188,0.0,122.26422992717241,0.0013148998719026605,86.95992983886549,0.001877079387369855,0
25,-31.370574193789892,-33.303861568668964,-34.28385690974565,-34.675128843306275,-34.891095533375534,-33.45509528627436,-34.297286873758786,-34.68444800850773,-34.86330022785263,-34.948396116115894,-31.16202756583782,-31.75935465565355,-33.67090223820201,-34.27575835406732,-34.72959501439239,-34.909587288900184,-31.557048395658377,-33.399304583549096,-34.30395406522098,-34.68386779831966,-34.864560770012915,-34.95455655564668,-31.736515646337004,-33.41960449997004,-34.38055864372374,-34.73818645779585,-34.912825594061346,-34.96454522292977,59.583784212736035,0.0,137.14702587733242,2.1636739244966105e-13,8.496420662503391,0.0,86.34075548477423,0.0008708088713501753,0
26,-31.35710580333837,-33.340370688448594,-34.329354385667514,-34.71269227667601,-34.91977418936631,-33.49454273502245,-34.34241885693248,-34.72172138505545,-34.89422133259864,-34.972541041628446,-31.143186397299313,-31.754960107239842,-33.7133232007435,-34.32075527209291,-34.765417452221044,-34.93676843494967,-31.548253286191756,-33.437756694985026,-34.349022597836004,-34.721160899844534,-34.895417635115265,-34.977632664790804,-31.73150283264915,-33.45846253859869,-34.42462875248353,-34.7737054879559,-34.94036005957502,-34.9861666667146,60.966719493024556,4.942688456309787e-16,137.65925065504086,2.024339809163097e-14,31.893866498000023,0.0,86.30977954634963,0.0011249148413485655,0
27,-31.362826991789753,-33.38631106402822,-34.38269853170339,-34.7565369834479,-34.952453563362475,-33.5430121505312,-34.39534456593625,-34.76520891831669,-34.929938148634605,-34.999022949347406,-31.144287600327566,-31.768191967059746,-33.76436652933824,-34.37353965291889,-34.80713549453972,-34.967405656542155,-31.557864504342206,-33.48541120732819,-34.40187375917591,-34.76467149864534,-34.93105289868231,-35.00257177798029,-31.744238912683873,-33.5064398559009,-34.47631227974129,-34.81506002999713,-34.97155240399164,-35.009009746977725,63.06716134464075,0.0,137.83171468618733,4.3970971397022697e-14,90.85055851023348,0.00020562651960982236,86.65343202073004,0.0013333458846581537,0
28,-31.377141003085086,-33.43394439792765,-34.43852077401807,-34.80168959666639,-34.98437088196188,-33.593199943008585,-34.45071682077981,-34.80994211811978,-34.965709350385026,-35.022987581109504,-31.155548119363758,-31.787661697900823,-33.8173352206376,-34.42872237413346,-34.8498266223934,-34.99671604968272,-31.574837771537908,-33.53483705208302,-34.45717099102776,-34.80942982287207,-34.9667258523791,-35.024473336368146,-31.76333327194453,-33.556139610711796,-34.53038013812334,-34.857342771252334,-35.00163502225308,-35.02809162410518,66.9742858679989,0.0,137.67824601335946,2.855021369058757e-14,110.10663001706216,0.0005877974022395918,86.99834491145758,0.0015198431798460746,0
29,-31.39310345267666,-33.478973875447224,-34.493906910041936,-34.84532126964135,-35.0123851487667,-33.64097485568464,-34.50562597485577,-34.85308280214559,-34.998576929391575,-35.04083124147703,-31.169329018434755,-31.807382876019798,-33.86844502757014,-34.483355085906034,-34.89061901661054,-35.02143584131462,-31.59273235174711,-33.58187059988019,-34.51201396769273,-34.85259645129997,-34.999475491048884,-35.03961636973918,-31.78275978697276,-33.60340120716995,-34.584014412483434,-34.89768333436003,-35.02736095722018,-35.03949325469931,74.7675351240957,6.136996154865346e-14,137.11981646032814,2.1886755650263735e-13,118.93787810690851,0.0009843571765925242,86.96200857889606,0.001702892349269254,0
30,-31.47189234204353,-33.36430109436047,-34.32542204092391,-34.70986390887472,-34.921564925306456,-33.51240264691831,-34.33856298698253,-34.71901669324828,-34.89421127040786,-34.97798102565247,-31.267499173814745,-31.853605981900706,-33.72354275996763,-34.31734582468871,-34.763300167984575,-34.93979219789593,-31.654736778160515,-33.45749665144384,-34.34511267683021,-34.718450429649856,-34.8954439426171,-34.98419468069614,-31.831244702445478,-33.477541406506695,-34.420359689642595,-34.771701803622136,-34.94282657652405,-34.9941937961338,58.43368800936301,6.651748668507469e-17,137.38052437802742,2.6013481531942464e-13,36.062986667182166,0.0,85.85018813948342,0.0006713601531255198,0
31,-31.450273821674063,-33.39544190627062,-34.36682325806928,-34.74426372615707,-34.948082642081,-33.54669929927365,-34.37963404436917,-34.75315874782784,-34.92262069067029,-35.000672929606395,-31.24041439809982,-31.84135302570308,-33.761108887346566,-34.35827043628612,-34.79614070097132,-34.96505228289757,-31.63792572433874,-33.490716989950556,-34.38613032615966,-34.75261073909768,-34.9237962830298,-35.006034272213824,-31.818348281588257,-33.511199498499145,-34.46051256512571,-34.804266009491975,-34.96833392444712,-35.01486342081794,59.479975270049906,6.439042715452581e-16,138.00373547229387,6.647537425223085e-14,20.077192573389425,3.227614633135512e-13,86.13355938666336,0.0009407246586538214,0
32,-31.45045980424053,-33.43849423225496,-34.41787797717375,-34.78658056367335,-34.980116691930405,-33.592383802415185,-34.43029712846418,-34.79514746167277,-34.957338998731615,-35.02723449501649,-31.235508452365007,-31.849790796435027,-33.80949709516561,-34.4087927450248,-34.83648575573572,-34.99528730892227,-31.642380686451446,-33.5355399782559,-34.43672538721713,-34.794621633820924,-34.95843939331395,-35.031286367999435,-31.826252496844162,-33.556367055692576,-34.51003411379302,-34.84426738863932,-34.999008142447536,-35.03833148189819,60.97910724127718,4.321355737646332e-16,138.26959866719906,1.6118964803410394e-13,0.22536346658092568,1.21717040820287e-08,86.58821862023468,0.0011520746466602064,0
33,-31.461001272166545,-33.48441170435005,-34.47233718996662,-34.83109805492729,-35.012340977860205,-33.640935638371666,-34.48432866820987,-34.83927667920963,-34.9930017931066,-35.0523798231352,-31.242721508777333,-31.865954645132057,-33.86090416104148,-34.46264244888252,-34.878701072289644,-35.025189922883094,-31.655818901585178,-33.5832884093031,-34.490686177490275,-34.838775643301645,-34.9940110229306,-35.05464848224693,-31.842014014759787,-33.60441105156455,-34.562837930414034,-34.88609159056564,-35.02955238666993,-35.05926002640855,63.75927993212149,5.781543351341661e-17,138.20852871264665,1.5218315137542462e-13,96.40062108102805,0.0002637892462519143,86.91465925590411,0.0013399962224757529,0
34,-31.47324379982416,-33.52808937627291,-34.52665401227773,-34.874567308040845,-35.04129938561611,-33.68743009187939,-34.53819501057004,-34.88229478834238,-35.02633310885147,-35.07221124621012,-31.2524247851543,-31.882543723257594,-33.91078651868524,-34.516243940700434,-34.91952944689423,-35.051180858158595,-31.67029718994128,-33.629000698001775,-34.54449077074134,-34.88181956325526,-35.027233009291805,-35.07209540466736,-31.858275148210417,-33.65037385926972,-34.61551618398183,-34.926486608381076,-35.05642406457103,-35.07342422376214,69.25220893660226,0.0,137.71760619103196,3.597961761374108e-14,112.07396792876034,0.0006695368437253768,86.96313376858518,0.0015323701613293235,0
35,-31.57260020068861,-33.42611211635734,-34.369013580760075,-34.74611578236342,-34.952811625870346,-33.57125454853265,-34.38185157907536,-34.755079336571775,-34.926197675074384,-35.00774038026445,-31.37209755357303,-31.947620074233175,-33.77795349020834,-34.36093801650694,-34.798398537380535,-34.97056726127813,-31.7520166576997,-33.51719711581969,-34.388281394181405,-34.754527799585546,-34.92739710214738,-35.01380806932869,-31.925712713528018,-33.536993839406264,-34.46212369258803,-34.80659389111822,-34.973505163285495,-35.02356125541179,55.01025756771939,2.10753343608639e-10,137.35713350747295,2.80583429171187e-13,33.78019710372272,1.543056072974121e-16,84.38786883446053,0.0004950992179492838,0
36,-31.547775817029432,-33.453861348273946,-34.40739777373733,-34.77812953032607,-34.977607069103215,-33.602178809313635,-34.41993141467879,-34.78685703634863,-34.952691372956004,-35.02909583758824,-31.341926091300326,-31.932035034128184,-33.81220088405499,-34.398867953772296,-34.82898015321901,-34.994234958072106,-31.73192221239398,-33.54702824193548,-34.4263144338978,-34.786322452261885,-34.95383845914589,-35.03441587349126,-31.90949290453488,-33.56727087300085,-34.499382943749,-34.83692024369026,-34.997375146929656,-35.04313809472785,57.04350851322128,0.0,138.15739075366193,1.1564444232620052e-13,13.925821385532316,0.0,85.76313217118009,0.0007532388089551275,0
37,-31.542472827857825,-33.49351905647688,-34.455649959362866,-34.81826342826191,-35.008174335189544,-33.64456600942461,-34.46781588249329,-34.826685424096866,-34.98570276112845,-35.05467559111863,-31.331322223645962,-31.93539814730989,-33.85741609111508,-34.446608730774116,-34.86727161869047,-35.023165855182995,-31.73109138779063,-33.58850802235254,-34.4741369236861,-34.82617182807931,-34.98677988033856,-35.058827736167174,-31.91229702287231,-33.609116003861864,-34.54621599123812,-34.8748883403059,-35.02667988015031,-35.06595393379324,58.93564392734211,1.94873041940934e-16,138.5754174629361,3.4648578344685015e-13,22.214252099789885,3.9239879860763003e-14,86.48329848081089,0.0009658879152752744,0
38,-31.548812653599835,-33.536786960553286,-34.50785882670694,-34.86117066170681,-35.03956002956358,-33.690530304256946,-34.51962018948515,-34.86922921348449,-35.02024299857166,-35.079566156711095,-31.334122966540637,-31.947721839594156,-33.90631155612209,-34.498232829593974,-34.9080130224925,-35.05242374362758,-31.74050956003618,-33.633635235553825,-34.525875748508504,-34.86873939734444,-35.02123475144515,-35.08211204520191,-31.924198139801625,-33.65455592305991,-34.59687600368757,-34.91525796176373,-35.056497766828485,-35.0870434729533,61.4283537171469,4.2671555542817617e-16,138.62920830782022,4.188076650369299e-13,0.027235900138384592,0.11266476680925226,86.82900651087196,0.0011566005500146645,0
39,-31.557285198008266,-33.578662421225154,-34.56065632007645,-34.90374457085059,-35.06844880061665,-33.7352873153073,-34.571987405362265,-34.911378651913914,-35.05317028769153,-35.10003437485278,-31.33978907963181,-31.960993122695566,-33.954507808618345,-34.55034177370268,-34.9480873821168,-35.07857369079282,-31.75144838792184,-33.67757131695995,-34.57818497366569,-34.91091394204475,-35.05405905811693,-35.10041190882283,-31.937114692247285,-33.69876418867503,-34.648122508327134,-34.954916603919244,-35.08343383654733,-35.1023610641018,65.74103840371177,0.0,138.2373789628033,1.723948606028922e-13,101.95829275971937,0.0003502230157112799,86.92640299135557,0.0013547609177757384,0
40,-31.673186672338595,-33.48828710170755,-34.41307802936731,-34.78271983204588,-34.98423921243551,-33.63050414433037,-34.42561158044428,-34.79148879655473,-34.958432912466925,-35.03754030293408,-31.47650472464366,-32.041597658028195,-33.832815835438026,-34.405002985818804,-34.83382041800268,-35.001475301462534,-31.84922626339371,-33.57729677544124,-34.43192083764289,-34.79095212515352,-34.95959786324929,-35.04341607076755,-32.02013589804935,-33.59684081309151,-34.50434684582314,-34.84180594695657,-35.00434106758886,-35.05286397128715,51.41349140634472,1.1093423221012408e-11,137.24310040497318,5.6549736147395274e-15,31.473605193543555,9.21429444128997e-13,81.01780727811015,0.0003300883284793065,0
