,Su,Sg,Sr,Si,Sz,a_fwhm,a_height,b_fwhm,b_height,g_fwhm,g_height,d_fwhm,d_height,is_mpms
735,19.418,19.101,19.057000000000002,19.088,19.145,38.65698736040909,0.3623901866285259,27.648316629041837,0.4117200270026716,18.078774074971292,0.46397964837168043,23.44134123276851,0.38777895146502955,0
736,19.722,19.124000000000002,18.899,18.859,18.802,13.434807329733044,0.4947121926482574,7.878348070906117,0.4544133177499457,7.243951355828617,0.3610919083308976,6.5763588906835695,0.24979150684164908,0
737,19.046,18.59,18.329,18.291,18.276,15.474123798514592,0.4747349806363715,7.643978958861458,0.4602255071743979,7.978431817463626,0.3494432816814704,8.864568118847751,0.34420504337702923,0
738,18.521,18.067,17.97,17.964000000000002,18.012999999999998,22.44439381097553,0.396237849068506,12.955050914635372,0.3905174634457447,10.959604822812512,0.4212318230771508,11.349757531124963,0.3234204764000799,0
739,19.366,19.049,19.029,19.133,19.281,52.65644730605054,0.41920147281862946,44.444269016456815,0.4768746509839756,32.066062504851416,0.5245397656963581,18.9464094659021,0.4841074634747729,0
740,16.56,15.734000000000002,15.466,15.392000000000001,15.339,7.414439552723,0.39166474824766295,6.423504665941802,0.39107111355073776,6.9686772376832735,0.4196575726426931,6.397048776298387,0.4252421627101242,1
741,16.432660005684944,15.502820004429667,15.390900003064422,15.371120002277195,15.398220001693815,12.449373288772588,0.3434012040711701,7.467682342839568,0.47182924906552415,9.045375226346689,0.48045042081497047,8.397759794444873,0.4839654515810431,1
742,15.532830002842472,14.694910002214835,14.460450001532214,14.409060001138599,14.395110000846907,7.826273614508849,0.39401514587222647,6.180201678371203,0.4449927157868467,7.233561796956373,0.43553948374973134,8.120035919631487,0.4344064352440112,1
743,16.41083000284247,15.424910002214835,15.291450001532212,15.261060001138599,15.325110000846907,11.078007282719234,0.4042035302517845,10.037380009893532,0.45236909989159835,9.609716527218193,0.47553836475004074,8.810642746141145,0.5166073682239802,1
744,15.16561000094749,14.057970000738278,13.984150000510738,14.011020000379531,14.096370000282304,14.10949950445581,0.41399372970479126,13.239566603603844,0.47989146576385033,12.190502210331761,0.5364266660063556,11.183306836749612,0.5643521568062249,1
745,15.560440003789962,14.563880002953113,14.449600002042947,14.45008000151813,14.44648000112921,12.210361600865426,0.3833698288433402,11.899271611937564,0.45758098435166233,12.933504908398495,0.49290888701695745,12.500645479596834,0.5247568482634746,1
746,15.388880007579923,14.611760005906223,14.325200004085897,14.244160003036262,14.15596000225842,6.398846101890504,0.3834389316731894,4.357014999178689,0.4090650852377272,4.509686741479788,0.3730306320286481,4.3999693261371124,0.3960571755104515,1
747,15.734710002526642,14.849670001968741,14.786650001361966,14.810220001012087,14.802070000752806,12.645310961475694,0.3793300902697715,10.78388153955063,0.47176666590160593,9.927852862440107,0.5083395346066626,11.195519160769258,0.5131859715523425,1
748,16.611660005684943,15.766820004429668,15.561900003064425,15.498120002277195,15.502220001693814,7.424377226807467,0.39812410060620623,6.091174899509832,0.44170887217856325,5.851487924481891,0.46018018820281514,7.323324948494465,0.43623752432976837,1
749,17.11244000378996,16.19388000295311,15.966600002042949,15.892080001518131,15.898480001129212,7.304761779512743,0.39662376612469835,9.912238283944939,0.3058286047438091,5.911614855051435,0.4404765712980808,6.516725334285953,0.4564650412106186,1
750,16.50983000284247,15.516910002214834,15.369450001532211,15.3180600011386,15.367110000846907,10.934453575188776,0.36851608292406285,8.805960413745176,0.4456785444272453,8.700599030442305,0.4853254729224902,7.8676907924488235,0.5078437835963474,1
751,15.815440003789961,14.981880002953114,14.729600002042949,14.65608000151813,14.648480001129212,8.489004244974138,0.39279936994661746,6.658629453302957,0.44870977063276835,6.537646123856655,0.4613210357803699,7.4359412016657185,0.46247403543473464,1
752,16.88944000378996,16.04888000295311,15.851600002042948,15.79508000151813,15.77948000112921,8.960426220112595,0.38250501506985995,7.991694965584983,0.39788750303478726,6.802080566504965,0.4517686650661882,7.014132964284728,0.4892613071331854,1
753,16.19344000378996,15.394880002953114,15.132600002042949,15.05308000151813,15.025480001129209,7.389277754979965,0.3841116621036107,5.2502789658394295,0.419218580976746,11.392538097353112,0.2398535512485991,5.362943255492798,0.43021532485388264,1
754,15.846830002842472,14.801910002214834,14.778450001532214,14.814060001138598,14.896110000846909,16.928035218025222,0.40090490051457833,15.764921295988927,0.5009131794025962,15.633428052931425,0.5324115706363419,14.269544988373209,0.5697146312988448,1
755,17.00483000284247,16.125910002214834,15.917450001532211,15.792060001138598,15.810110000846906,8.000794721883661,0.39054195092004773,5.4321407125501935,0.45541068563277476,6.5588060209752435,0.40578986157460306,8.703211820634213,0.36303111780880715,1
756,15.657830002842472,14.851910002214833,14.588450001532212,14.473060001138599,14.510110000846907,7.440440591677511,0.39105431133673035,4.960034551286722,0.43483616323855795,4.733277688559536,0.4436531794059699,5.697079460341348,0.4459983809729217,1
757,17.687660005684943,17.359820004429668,17.414900003064425,17.497120002277196,17.617220001693813,37.81430421501601,0.46996519062368547,39.24486036856668,0.45438892312940615,23.0267453738767,0.48955482246357046,28.104960487565585,0.3540567194300738,0
758,20.090660005684942,19.40382000442967,19.135900003064425,19.111120002277197,19.150220001693814,11.793215456404221,0.5346486758169546,8.331984801818821,0.38547622251554703,40.760905076163276,0.12359174981193081,31.898190192232885,0.11483570479213984,0
759,19.502,19.051,18.99,19.051,19.105,22.1496766898505,0.5058471634184718,18.93040868432952,0.5539548776032922,20.15777034020067,0.552741035913688,12.373688107403238,0.4458174001419828,0
760,19.99122000189498,19.46794000147656,19.410300001021476,19.452040000759066,19.563740000564607,21.038067563213467,0.492327380098346,13.849694546025233,0.5052518465131248,13.655472094935323,0.4257097383599783,20.92306886099385,0.3093101404836885,0
761,19.17044000378996,18.74288000295311,18.63260000204295,18.63208000151813,18.753480001129212,15.883744677553219,0.5282668753923229,10.08506237181877,0.45573273853953333,10.518807902420647,0.4125681664836381,7.9645890924609235,0.3615971059947606,0
762,19.583,19.107,19.002,19.054000000000002,19.184,26.448858692737986,0.4473233575258932,10.90265048374392,0.5559105178380639,12.71111493889995,0.4283674237319547,16.414936506530033,0.4250496967423128,0
763,16.541220001894978,15.694940001476555,15.431300001021475,15.286040000759066,15.267740000564604,8.59020719214862,0.3695197817790969,6.8009542953112305,0.40950945454568,7.623313761809277,0.4012800364582599,6.347327971417499,0.4720940464033606,1
